u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,ref,junction,bridge,tunnel,maxspeed,access
1489219983,1489219913,0,135619485,residential,,,False,False,102.1494818134054,"LINESTRING (538479.1063319795 731563.9999104694, 538562.1690633574 731623.2007045246)",,,,,,
1489219983,1489219714,0,135619485,residential,,,False,True,81.1449052676594,"LINESTRING (538479.1063319795 731563.9999104694, 538411.8077352254 731518.8497170652)",,,,,,
1489219877,1489219724,0,135619471,residential,,,False,False,70.04888328765261,"LINESTRING (538693.2812460592 731308.7096669746, 538692.6688777487 731299.2464249717, 538697.3097747597 731270.430126192, 538703.532494205 731240.0783401525)",,,,,,
1489219877,1489219638,0,135619471,residential,,,False,True,414.141981230323,"LINESTRING (538693.2812460592 731308.7096669746, 538723.0026509424 731422.881286191, 538723.2923952478 731435.2516845664, 538717.6462099054 731447.4741900783, 538705.7744200709 731462.7765687893, 538693.5979584916 731486.9114297497, 538687.0606201001 731508.8503799508, 538681.4104112382 731526.8102681249, 538673.2535292127 731541.0871820656, 538663.7530287167 731548.2992070821, 538652.0439002665 731552.4143679191, 538636.7771222971 731554.0397252754, 538615.5894284119 731549.9014344324, 538589.4991178664 731538.0988118446, 538529.9270268827 731493.4181938042)",,,,,,
1489219877,1489219687,0,135619476,residential,,,False,True,113.35381836836233,"LINESTRING (538693.2812460592 731308.7096669746, 538648.0535853534 731316.33874711, 538624.7813160778 731321.1864512798, 538618.9967210339 731325.8916828044, 538616.615852663 731331.925868167, 538617.9211765897 731346.3199851293, 538619.2702343874 731361.3995234405)",,,,,,
5574199832,6992521275,0,1145025645,residential,,,False,True,28.432117825895162,"LINESTRING (538578.0727562357 730902.9549663306, 538586.6318829285 730929.9122875794)",,,,,,
5574199832,1489219907,0,135619486,residential,,,False,False,71.36811218248366,"LINESTRING (538578.0727562357 730902.9549663306, 538587.2745090306 730896.2843927315, 538597.6500387657 730886.7183172987, 538600.4752608362 730877.5891317728, 538601.6745889318 730869.7853672567, 538599.9041604308 730856.5406146346, 538594.7294620395 730842.6965206033)",,,,,,
5574199832,1489219643,0,135619486,residential,,,False,True,105.63739134813375,"LINESTRING (538578.0727562357 730902.9549663306, 538518.5948006848 730943.8045503686, 538513.8512191158 730945.724743083, 538486.1455119693 730951.3985096718)",,,,,,
1489219908,1489219643,0,1347907412,residential,,,False,True,133.28252192661733,"LINESTRING (538515.9235542434 731080.3390649094, 538505.796249582 731019.6417642819, 538486.1455119693 730951.3985096718)",,,,,,
1489219645,1489219648,0,135619404,residential,,,False,True,30.64092609363738,"LINESTRING (537740.2047385293 729799.5153893644, 537728.6446338 729827.7300417199)",,,,,,
1489219648,1489219645,0,135619404,residential,,,False,False,30.64092609363738,"LINESTRING (537728.6446338 729827.7300417199, 537740.2047385293 729799.5153893644)",,,,,,
1489219648,1489219802,0,135619404,residential,,,False,True,127.71047894606743,"LINESTRING (537728.6446338 729827.7300417199, 537682.6326410776 729946.1824912004)",,,,,,
1489219648,1489219763,0,135619460,residential,,,False,False,80.19286382240664,"LINESTRING (537728.6446338 729827.7300417199, 537802.9979162429 729857.7391763395)",,,,,,
1489219647,1489219835,0,282443810,residential,,Ogunlowo Street,False,False,32.74399856517958,"LINESTRING (538152.447955333 730273.9233200821, 538176.2765741779 730296.2702857007)",,,,,,
1489219647,1489219721,0,135619379,residential,,Alh. Kofoworola Crescent,False,False,139.27006861159097,"LINESTRING (538152.447955333 730273.9233200821, 538179.7542565815 730238.8878741228, 538187.6904559577 730224.0911674593, 538187.7713557289 730219.017127302, 538185.1113557351 730213.1231399843, 538134.8550492587 730170.1851104512)",,,,,,
1489219647,1489219940,0,282443810,residential,,Ogunlowo Street,False,True,298.505529621757,"LINESTRING (538152.447955333 730273.9233200821, 538087.9927906401 730222.4744474867, 537919.0867536073 730088.6405271365)",,,,,,
1489219835,1489219647,0,282443810,residential,,Ogunlowo Street,False,True,32.74399856517958,"LINESTRING (538176.2765741779 730296.2702857007, 538152.447955333 730273.9233200821)",,,,,,
1489219763,1489219648,0,135619460,residential,,,False,True,80.19286382240664,"LINESTRING (537802.9979162429 729857.7391763395, 537728.6446338 729827.7300417199)",,,,,,
1489219651,1489220040,0,135619429,residential,,,False,True,72.3933356421173,"LINESTRING (538701.2876927289 731099.9033507191, 538672.6220456031 731166.0012521469)",,,,,,
1489219941,1489219874,0,135619376,residential,,,False,False,111.45748759226935,"LINESTRING (538227.6172374729 731593.8488987063, 538116.0831166548 731592.3343098009)",,,,,,
1489219941,1489219865,0,23711680,tertiary,,Adeniyi Jones Avenue,False,False,68.74596875617685,"LINESTRING (538227.6172374729 731593.8488987063, 538232.2481885711 731578.9504093821, 538241.01708226 731526.9221235054)",,,,,,
1489219941,1489219656,0,23711680,tertiary,,Adeniyi Jones Avenue,False,True,113.18992510925696,"LINESTRING (538227.6172374729 731593.8488987063, 538216.9704372862 731628.1773347075, 538197.9644722042 731665.871638378, 538180.4342535738 731695.5965476971)",,,,,,
1489219803,1489219656,0,23711680,tertiary,,Adeniyi Jones Avenue,False,False,199.60287799695985,"LINESTRING (538199.2067336804 731818.791921029, 538127.9083670713 731787.1702160231, 538124.6381363807 731784.6474789664, 538120.2519819979 731781.3611947238, 538115.2804412817 731777.3891144526, 538119.1776967287 731768.3822531947, 538123.1843962936 731760.9562875755, 538125.4530115926 731757.287707679, 538167.9655843193 731711.1418214069, 538180.4342535738 731695.5965476971)",,,,,,
1489219803,10057843174,0,23711680,tertiary,,Adeniyi Jones Avenue,False,True,57.902697008067264,"LINESTRING (538199.2067336804 731818.791921029, 538236.9886512891 731835.5439425875, 538251.8954633473 731842.7398652391)",,,,,,
1489219803,1489219860,0,135619411,residential,,,False,False,90.6568597554915,"LINESTRING (538199.2067336804 731818.791921029, 538208.5452588605 731805.9086558645, 538211.6548500659 731800.9914850782, 538214.9852292893 731796.4945459786, 538252.858107125 731746.133660988)",,,,,,
1489219657,1489219854,0,135619446,residential,,Ali Balogun Street,False,True,271.01209665275127,"LINESTRING (537978.7414077563 730224.9194367868, 537951.5799449915 730258.4958588391, 537909.9139918032 730310.0040370617, 537808.8472723323 730434.9407637602)",,,,,,
1489219854,1489219663,0,23711680,tertiary,,Adeniyi Jones Avenue,False,False,411.0185491286748,"LINESTRING (537808.8472723323 730434.9407637602, 537524.6426770254 730223.5689060868, 537478.2029947265 730191.931974713)",,,,,,
