osmid,y,x,street_count,highway,geometry
1485263928,733710.3278784727,540763.5451572385,3,,POINT (540763.5451572385 733710.3278784727)
1486218036,734518.5691896898,540641.3774325909,2,,POINT (540641.3774325909 734518.5691896898)
1486266924,734537.8943395123,540628.5079019903,3,,POINT (540628.5079019903 734537.8943395123)
1486218057,734397.9769585833,540137.0188449349,3,,POINT (540137.0188449349 734397.9769585833)
1486325819,734472.3845769927,540089.5006726,3,,POINT (540089.5006726 734472.3845769927)
1486266951,734445.5715344675,540202.7631925393,3,,POINT (540202.7631925393 734445.5715344675)
1486325925,734299.3331883915,539952.166013104,3,,POINT (539952.166013104 734299.3331883915)
1486325809,735192.5493174036,539718.1007273754,3,,POINT (539718.1007273754 735192.5493174036)
10885533404,735222.5613191725,539563.4983131605,3,,POINT (539563.4983131605 735222.5613191725)
1486218299,734547.1659786882,540624.1017406135,3,,POINT (540624.1017406135 734547.1659786882)
1486218490,733877.4522906477,540118.5761256688,3,,POINT (540118.5761256688 733877.4522906477)
5618757548,733888.4829278579,540115.8930779413,3,,POINT (540115.8930779413 733888.4829278579)
5618799852,733894.5903135184,540183.2933914078,3,,POINT (540183.2933914078 733894.5903135184)
1486218511,734382.3837678349,540653.1289400525,2,,POINT (540653.1289400525 734382.3837678349)
1486267649,733978.8025397361,540584.597962599,3,traffic_signals,POINT (540584.597962599 733978.8025397361)
1486218586,734429.5765114011,540489.2701754784,4,,POINT (540489.2701754784 734429.5765114011)
1486267601,734426.6122741946,540442.2840022526,3,,POINT (540442.2840022526 734426.6122741946)
1486267030,734490.7943202516,540469.9697396749,3,,POINT (540469.9697396749 734490.7943202516)
1486267083,734291.8927617425,540478.0532182354,3,,POINT (540478.0532182354 734291.8927617425)
1486267381,734270.199553564,540547.5406146069,3,,POINT (540547.5406146069 734270.199553564)
1486218643,733979.1004397357,540509.1570818815,3,,POINT (540509.1570818815 733979.1004397357)
12813406051,733945.2243977337,540815.9412202064,2,,POINT (540815.9412202064 733945.2243977337)
1486266752,734985.6882771679,540089.6772291908,2,,POINT (540089.6772291908 734985.6882771679)
1486266768,734940.4290613492,540103.107096148,3,,POINT (540103.107096148 734940.4290613492)
1486266765,734834.2953793289,540106.7109412126,3,,POINT (540106.7109412126 734834.2953793289)
1486266862,734795.2282100425,540031.5100990181,3,,POINT (540031.5100990181 734795.2282100425)
5610659561,734923.2617608195,540254.517852284,2,,POINT (540254.517852284 734923.2617608195)
5610659557,734952.5025977611,540165.8040419536,1,,POINT (540165.8040419536 734952.5025977611)
1486266830,733766.021909192,539373.4675250812,3,,POINT (539373.4675250812 733766.021909192)
1489181930,733770.4938665713,539366.2352531607,4,,POINT (539366.2352531607 733770.4938665713)
5618799849,733939.8748536167,539551.5150950031,3,,POINT (539551.5150950031 733939.8748536167)
1486266853,734756.0630686022,540033.8489203627,3,,POINT (540033.8489203627 734756.0630686022)
1486325439,734687.0413205002,540039.1608557005,3,,POINT (540039.1608557005 734687.0413205002)
1486325893,734779.454063149,540032.7817300721,3,,POINT (540032.7817300721 734779.454063149)
1486267311,734788.9276258757,540183.1232541861,3,,POINT (540183.1232541861 734788.9276258757)
1486325792,734859.0221832746,540027.7052629219,3,,POINT (540027.7052629219 734859.0221832746)
1486266902,734192.5513102552,540263.0470499673,3,,POINT (540263.0470499673 734192.5513102552)
1486267388,734197.2602029616,540337.5775381064,3,,POINT (540337.5775381064 734197.2602029616)
1486267187,734259.4872963512,540247.589223424,4,,POINT (540247.589223424 734259.4872963512)
1486266970,733947.3905284731,540337.6400032322,3,,POINT (540337.6400032322 733947.3905284731)
1486266935,734257.470791883,540331.5421708103,3,,POINT (540331.5421708103 734257.470791883)
1486267144,734250.615520016,540404.677307347,3,,POINT (540404.677307347 734250.615520016)
1486267413,734499.9640072843,540357.416528804,4,,POINT (540357.416528804 734499.9640072843)
1486267276,734267.7330335098,540170.8607177011,3,,POINT (540170.8607177011 734267.7330335098)
1486267553,733923.5932677167,540252.2906929199,3,,POINT (540252.2906929199 733923.5932677167)
1486266993,734503.8019569344,540375.0660880168,3,,POINT (540375.0660880168 734503.8019569344)
1486267274,734504.1190272049,540415.234159854,3,,POINT (540415.234159854 734504.1190272049)
1486267389,734647.1245607835,540492.3036686678,2,,POINT (540492.3036686678 734647.1245607835)
1486266994,733948.6048592558,539562.3744517423,3,,POINT (539562.3744517423 733948.6048592558)
1486267269,733948.7954935663,539550.8122782337,3,,POINT (539550.8122782337 733948.7954935663)
1486325929,734129.5120758215,539710.880660189,3,,POINT (539710.880660189 734129.5120758215)
1486267006,734413.4256554545,540294.641268084,1,,POINT (540294.641268084 734413.4256554545)
1486267035,733636.5604864227,539265.9092389073,3,,POINT (539265.9092389073 733636.5604864227)
10175035045,733705.8928279348,539200.3226580082,3,,POINT (539200.3226580082 733705.8928279348)
1489181523,733563.4124789176,539205.4761049411,3,,POINT (539205.4761049411 733563.4124789176)
1486267052,735162.5872811661,539773.7538937691,3,,POINT (539773.7538937691 735162.5872811661)
5610620499,735168.9077999474,539769.9358982624,3,,POINT (539769.9358982624 735168.9077999474)
1486325573,735171.6495065368,539754.9234862907,3,,POINT (539754.9234862907 735171.6495065368)
1486325913,735022.2274313597,539761.0783000367,1,,POINT (539761.0783000367 735022.2274313597)
1486267059,734849.2336584,540276.7896593245,2,,POINT (540276.7896593245 734849.2336584)
1486267535,734830.5216902186,540266.7558943491,3,,POINT (540266.7558943491 734830.5216902186)
1486267189,733982.8700002854,540479.1217299683,3,,POINT (540479.1217299683 733982.8700002854)
